id,name_cn,name_en,category,summary,meaning,visual_keywords,image_size
001,缠枝莲纹,Interlocking Lotus Scroll Pattern,植物花卉纹,以莲花与卷曲藤蔓连续展开，常见于瓷器、织锦与建筑装饰。,清雅、连绵、生生不息,莲花、卷草、连续藤蔓、青绿白描,1086x1448
002,宝相花纹,Baoxiang Floral Pattern,植物花卉纹,融合莲花、牡丹等花形的理想化花卉纹样，形态饱满华丽。,庄严、富贵、圆满,对称团花、层叠花瓣、鎏金边线,1086x1448
003,牡丹纹,Peony Pattern,植物花卉纹,牡丹被视为富贵之花，常用于瓷器、织绣、漆器与家具装饰。,富贵、繁荣、华美,盛开牡丹、卷叶、朱砂粉绿,1086x1448
004,菊花纹,Chrysanthemum Pattern,植物花卉纹,菊花纹线条舒展，常见于器物、织物和文人审美图案中。,高洁、长寿、清雅,重瓣菊花、圆形构图、淡黄墨线,1086x1448
005,莲瓣纹,Lotus Petal Pattern,植物花卉纹,由莲花花瓣环绕组成，常见于佛教器物、瓷器口沿和器座装饰。,清净、庄重、安宁,环形莲瓣、层层排列、对称构成,1086x1448
006,卷草纹,Scroll Grass Pattern,植物花卉纹,以卷曲草叶连续延展，常作为边饰或填充纹样。,生命力、延展、装饰韵律,藤草卷曲、连续边饰、墨绿线条,1086x1448
007,忍冬纹,Honeysuckle Pattern,植物花卉纹,忍冬纹枝叶翻卷灵动，常用于石刻、壁画和器物装饰。,生命延续、坚韧、繁盛,忍冬叶、翻卷叶片、古典石刻感,1086x1448
008,唐草纹,Tang Scroll Pattern,植物花卉纹,以蔓草连续缠绕为特征，结构自由华丽，适合背景与边饰设计。,繁盛、流动、华丽,蔓草、花叶交织、唐风装饰,1086x1448
009,石榴纹,Pomegranate Pattern,植物花卉纹,石榴多籽，常见于织绣、瓷器与民俗装饰。,多子多福、家族兴旺,裂开石榴、多籽、花叶环绕,1086x1448
010,梅花纹,Plum Blossom Pattern,植物花卉纹,梅花凌寒开放，是传统纹样中极具文人气质的花卉主题。,坚韧、高洁、春信,五瓣梅花、枝干、留白、墨色,1086x1448
011,兰草纹,Orchid Pattern,植物花卉纹,兰草纹清秀舒展，常表现幽雅、品格与文人气息。,清雅、品格、君子气,兰叶舒展、细线条、淡墨青绿,1086x1448
012,竹叶纹,Bamboo Leaf Pattern,植物花卉纹,竹叶纹常见于书画、器物和园林装饰图案。,虚心、气节、平安,竹叶、竹节、疏密构图,1086x1448
013,松针纹,Pine Needle Pattern,植物花卉纹,松针纹可用于表现古朴、沉稳、清雅的视觉氛围。,长寿、坚贞、稳重,松枝松针、墨绿、古雅构图,1086x1448
014,桃花纹,Peach Blossom Pattern,植物花卉纹,桃花纹轻盈明丽，适合表现春日与美好祝愿。,生机、姻缘、美好,桃花、枝叶、粉色淡彩,1086x1448
015,海棠纹,Begonia Pattern,植物花卉纹,海棠纹柔美端庄，常用于织绣、窗格、家具与器物装饰。,富贵满堂、柔美、雅致,海棠花形、圆润花瓣、对称,1086x1448
016,荷叶纹,Lotus Leaf Pattern,植物花卉纹,荷叶纹常与莲花组合出现，叶片舒展，具有自然意象。,清净、自然、舒展,大荷叶、莲茎、水面留白,1086x1448
